Contig,Cut_Off,Best_Hit_ARO,Drug Class,Resistance Mechanism,AMR Gene Family
NODE_977_length_10158_cov_5.951251_5,Perfect,KPC-3,monobactam; carbapenem; cephalosporin; penam,antibiotic inactivation,KPC beta-lactamase
NODE_1335_length_6650_cov_66.307067_1,Perfect,vanH gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanH; glycopeptide resistance gene cluster
NODE_1335_length_6650_cov_66.307067_2,Strict,vanA,glycopeptide antibiotic,antibiotic target alteration,glycopeptide resistance gene cluster; Van ligase
NODE_1335_length_6650_cov_66.307067_3,Strict,vanX gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanX; glycopeptide resistance gene cluster
NODE_1335_length_6650_cov_66.307067_4,Strict,vanY gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanY; glycopeptide resistance gene cluster
NODE_1335_length_6650_cov_66.307067_5,Perfect,vanZ gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanZ; glycopeptide resistance gene cluster
NODE_1359_length_6482_cov_36.732966_4,Perfect,QnrS1,fluoroquinolone antibiotic,antibiotic target protection,quinolone resistance protein (qnr)
NODE_1695_length_4911_cov_20.063336_2,Perfect,OXA-48,carbapenem; cephalosporin; penam,antibiotic inactivation,OXA beta-lactamase
NODE_2132_length_3755_cov_3.544928_2,Strict,APH(6)-Id,aminoglycoside antibiotic,antibiotic inactivation,APH(6)
NODE_2132_length_3755_cov_3.544928_3,Strict,APH(3'')-Ib,aminoglycoside antibiotic,antibiotic inactivation,APH(3'')
NODE_2132_length_3755_cov_3.544928_4,Perfect,sul2,sulfonamide antibiotic,antibiotic target replacement,sulfonamide resistant sul
NODE_2757_length_2924_cov_15.752540_2,Strict,tet(A),tetracycline antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump
NODE_2842_length_2846_cov_4.312615_4,Strict,AAC(3)-IIe,aminoglycoside antibiotic,antibiotic inactivation,AAC(3)
NODE_3297_length_2505_cov_17.597561_1,Strict,aadA16,aminoglycoside antibiotic,antibiotic inactivation,ANT(3'')
NODE_3297_length_2505_cov_17.597561_2,Strict,dfrA27,diaminopyrimidine antibiotic,antibiotic target replacement,trimethoprim resistant dihydrofolate reductase dfr
NODE_3297_length_2505_cov_17.597561_3,Perfect,arr-3,rifamycin antibiotic,antibiotic inactivation,rifampin ADP-ribosyltransferase (Arr)
NODE_3482_length_2386_cov_74.571049_1,Strict,vanS gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanS; glycopeptide resistance gene cluster
NODE_3482_length_2386_cov_74.571049_2,Perfect,vanR gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,glycopeptide resistance gene cluster; vanR
NODE_3485_length_2385_cov_14.116475_1,Strict,tet(O),tetracycline antibiotic,antibiotic target protection,tetracycline-resistant ribosomal protection protein
NODE_3823_length_2210_cov_3.430629_2,Perfect,QnrB1,fluoroquinolone antibiotic,antibiotic target protection,quinolone resistance protein (qnr)
NODE_4324_length_2006_cov_2.890367_1,Perfect,dfrA12,diaminopyrimidine antibiotic,antibiotic target replacement,trimethoprim resistant dihydrofolate reductase dfr
NODE_4324_length_2006_cov_2.890367_2,Strict,aadA2,aminoglycoside antibiotic,antibiotic inactivation,ANT(3'')
NODE_5609_length_1655_cov_39.125000_1,Perfect,CTX-M-231,cephalosporin,antibiotic inactivation,CTX-M beta-lactamase
NODE_6747_length_1442_cov_42.164259_2,Perfect,OXA-9,carbapenem; cephalosporin; penam,antibiotic inactivation,OXA beta-lactamase
NODE_7149_length_1382_cov_18.224701_2,Perfect,CTX-M-27,carbapenem; cephalosporin; penam,antibiotic inactivation,CTX-M beta-lactamase
NODE_7828_length_1290_cov_4.005159_1,Strict,APH(3')-Ia,aminoglycoside antibiotic,antibiotic inactivation,APH(3')
NODE_8747_length_1186_cov_4.468366_1,Perfect,dfrA14,diaminopyrimidine antibiotic,antibiotic target replacement,trimethoprim resistant dihydrofolate reductase dfr
