Contig,Cut_Off,Best_Hit_ARO,Drug Class,Resistance Mechanism,AMR Gene Family
NODE_255_length_18994_cov_6.450098_12,Strict,tet(M),tetracycline antibiotic,antibiotic target protection,tetracycline-resistant ribosomal protection protein
NODE_255_length_18994_cov_6.450098_13,Strict,tet(45),tetracycline antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump
NODE_598_length_10021_cov_15.354356_3,Perfect,vanR gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,glycopeptide resistance gene cluster; vanR
NODE_598_length_10021_cov_15.354356_4,Perfect,vanS gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanS; glycopeptide resistance gene cluster
NODE_598_length_10021_cov_15.354356_6,Perfect,vanH gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanH; glycopeptide resistance gene cluster
NODE_598_length_10021_cov_15.354356_7,Strict,vanA,glycopeptide antibiotic,antibiotic target alteration,glycopeptide resistance gene cluster; Van ligase
NODE_598_length_10021_cov_15.354356_8,Strict,vanX gene in vanA cluster,glycopeptide antibiotic,antibiotic target alteration,vanX; glycopeptide resistance gene cluster
NODE_825_length_7505_cov_27.082543_2,Perfect,CTX-M-15,cephalosporin; penam,antibiotic inactivation,CTX-M beta-lactamase
NODE_825_length_7505_cov_27.082543_7,Perfect,QnrS1,fluoroquinolone antibiotic,antibiotic target protection,quinolone resistance protein (qnr)
NODE_972_length_6241_cov_5.343147_7,Strict,mphA,macrolide antibiotic,antibiotic inactivation,macrolide phosphotransferase (MPH)
NODE_1099_length_5356_cov_2.953337_4,Strict,acrD,aminoglycoside antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump
NODE_1127_length_5237_cov_19.733072_3,Perfect,APH(3')-VI,aminoglycoside antibiotic,antibiotic inactivation,APH(3')
NODE_1179_length_4911_cov_28.599916_6,Perfect,OXA-48,carbapenem; cephalosporin; penam,antibiotic inactivation,OXA beta-lactamase
NODE_1198_length_4766_cov_2.396637_2,Strict,evgS,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
NODE_1480_length_3645_cov_33.287379_4,Perfect,BRP(MBL),glycopeptide antibiotic,antibiotic inactivation,Bleomycin resistant protein
NODE_1480_length_3645_cov_33.287379_5,Perfect,NDM-1,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation,NDM beta-lactamase
NODE_1889_length_2699_cov_20.412519_1,Perfect,arr-3,rifamycin antibiotic,antibiotic inactivation,rifampin ADP-ribosyltransferase (Arr)
NODE_1889_length_2699_cov_20.412519_2,Perfect,catB3,phenicol antibiotic,antibiotic inactivation,chloramphenicol acetyltransferase (CAT)
NODE_1889_length_2699_cov_20.412519_3,Perfect,OXA-1,carbapenem; cephalosporin; penam,antibiotic inactivation,OXA beta-lactamase
NODE_3791_length_1472_cov_2.143494_1,Strict,ErmT,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,Erm 23S ribosomal RNA methyltransferase
NODE_3882_length_1442_cov_53.127757_2,Perfect,OXA-9,carbapenem; cephalosporin; penam,antibiotic inactivation,OXA beta-lactamase
NODE_4657_length_1243_cov_41.196237_2,Perfect,TEM-1,monobactam; cephalosporin; penam; penem,antibiotic inactivation,TEM beta-lactamase
NODE_5340_length_1117_cov_1.425253_2,Strict,bacA,peptide antibiotic,antibiotic target alteration,undecaprenyl pyrophosphate related proteins
